Estudi,Curs acadèmic,Alumne,Sexe,Assignatura,Codi assignatura,Nota_assignatura
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,108ECED8A2C18E957593A289D24D619D,Dona,Fonaments de Programació I,106553,6.9
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,108ECED8A2C18E957593A289D24D619D,Dona,Fonaments Matemàtics I,106550,7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,108ECED8A2C18E957593A289D24D619D,Dona,Introducció a la IA,106558,5
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,108ECED8A2C18E957593A289D24D619D,Dona,Lògica Computacional,106569,9
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,108ECED8A2C18E957593A289D24D619D,Dona,Probabilitat i Estadística,106552,9.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,108ECED8A2C18E957593A289D24D619D,Dona,Processos Cognitius,106577,6.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,EBCC83B15D66E531D5DBE7C9C623ECC1,Home,Enginyeria de Dades,106565,9.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,EBCC83B15D66E531D5DBE7C9C623ECC1,Home,Fonaments de Computació,106555,7.6
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,EBCC83B15D66E531D5DBE7C9C623ECC1,Home,Fonaments de Programació I,106553,8.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,EBCC83B15D66E531D5DBE7C9C623ECC1,Home,Fonaments de Programació II,106554,8.1
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,EBCC83B15D66E531D5DBE7C9C623ECC1,Home,Fonaments Matemàtics I,106550,9.5
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,EBCC83B15D66E531D5DBE7C9C623ECC1,Home,Fonaments Matemàtics II,106551,7.6
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,EBCC83B15D66E531D5DBE7C9C623ECC1,Home,Introducció a la IA,106558,7.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,EBCC83B15D66E531D5DBE7C9C623ECC1,Home,Lògica Computacional,106569,10
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,EBCC83B15D66E531D5DBE7C9C623ECC1,Home,Probabilitat i Estadística,106552,9.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,EBCC83B15D66E531D5DBE7C9C623ECC1,Home,Processos Cognitius,106577,6.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,5074DEEE7F0E34908760723F2F39FC67,Dona,Enginyeria de Dades,106565,8.1
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,5074DEEE7F0E34908760723F2F39FC67,Dona,Fonaments de Computació,106555,7.2
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,5074DEEE7F0E34908760723F2F39FC67,Dona,Fonaments de Programació I,106553,7.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,5074DEEE7F0E34908760723F2F39FC67,Dona,Fonaments de Programació II,106554,6.9
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,5074DEEE7F0E34908760723F2F39FC67,Dona,Fonaments Matemàtics I,106550,6.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,5074DEEE7F0E34908760723F2F39FC67,Dona,Fonaments Matemàtics II,106551,5.4
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,5074DEEE7F0E34908760723F2F39FC67,Dona,Introducció a la IA,106558,6.3
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,5074DEEE7F0E34908760723F2F39FC67,Dona,Lògica Computacional,106569,9.1
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,5074DEEE7F0E34908760723F2F39FC67,Dona,Probabilitat i Estadística,106552,9.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,5074DEEE7F0E34908760723F2F39FC67,Dona,Processos Cognitius,106577,8.2
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,CC80CAD5959C39A20BDC13D6590A6C24,Dona,Enginyeria de Dades,106565,7.2
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,CC80CAD5959C39A20BDC13D6590A6C24,Dona,Fonaments de Computació,106555,5.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,CC80CAD5959C39A20BDC13D6590A6C24,Dona,Fonaments Matemàtics I,106550,5.3
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,CC80CAD5959C39A20BDC13D6590A6C24,Dona,Introducció a la IA,106558,6.2
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,CC80CAD5959C39A20BDC13D6590A6C24,Dona,Lògica Computacional,106569,7.5
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,CC80CAD5959C39A20BDC13D6590A6C24,Dona,Probabilitat i Estadística,106552,8.6
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,CC80CAD5959C39A20BDC13D6590A6C24,Dona,Processos Cognitius,106577,7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,F3619788023C7E00283DA0E5ED32BC00,Home,Enginyeria de Dades,106565,6.1
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,F3619788023C7E00283DA0E5ED32BC00,Home,Fonaments de Computació,106555,6.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,F3619788023C7E00283DA0E5ED32BC00,Home,Fonaments de Programació II,106554,6.5
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,F3619788023C7E00283DA0E5ED32BC00,Home,Fonaments Matemàtics I,106550,6.4
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,F3619788023C7E00283DA0E5ED32BC00,Home,Introducció a la IA,106558,6.5
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,F3619788023C7E00283DA0E5ED32BC00,Home,Lògica Computacional,106569,9.2
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,F3619788023C7E00283DA0E5ED32BC00,Home,Probabilitat i Estadística,106552,9.1
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,F3619788023C7E00283DA0E5ED32BC00,Home,Processos Cognitius,106577,5.3
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,07DB8E3E2A820DAD71768B0A5D63CA43,Dona,Enginyeria de Dades,106565,9.1
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,07DB8E3E2A820DAD71768B0A5D63CA43,Dona,Fonaments de Computació,106555,7.9
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,07DB8E3E2A820DAD71768B0A5D63CA43,Dona,Fonaments de Programació I,106553,8.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,07DB8E3E2A820DAD71768B0A5D63CA43,Dona,Fonaments de Programació II,106554,8.6
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,07DB8E3E2A820DAD71768B0A5D63CA43,Dona,Fonaments Matemàtics I,106550,8.3
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,07DB8E3E2A820DAD71768B0A5D63CA43,Dona,Fonaments Matemàtics II,106551,7.4
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,07DB8E3E2A820DAD71768B0A5D63CA43,Dona,Introducció a la IA,106558,8.1
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,07DB8E3E2A820DAD71768B0A5D63CA43,Dona,Lògica Computacional,106569,9.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,07DB8E3E2A820DAD71768B0A5D63CA43,Dona,Probabilitat i Estadística,106552,9.6
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,07DB8E3E2A820DAD71768B0A5D63CA43,Dona,Processos Cognitius,106577,7.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,D4A8870D824D6C1CF7BDB802736D61AB,Home,Enginyeria de Dades,106565,7.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,D4A8870D824D6C1CF7BDB802736D61AB,Home,Fonaments de Computació,106555,7.5
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,D4A8870D824D6C1CF7BDB802736D61AB,Home,Fonaments de Programació I,106553,7.5
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,D4A8870D824D6C1CF7BDB802736D61AB,Home,Fonaments de Programació II,106554,8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,D4A8870D824D6C1CF7BDB802736D61AB,Home,Fonaments Matemàtics I,106550,7.2
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,D4A8870D824D6C1CF7BDB802736D61AB,Home,Fonaments Matemàtics II,106551,6.1
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,D4A8870D824D6C1CF7BDB802736D61AB,Home,Introducció a la IA,106558,8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,D4A8870D824D6C1CF7BDB802736D61AB,Home,Lògica Computacional,106569,9.5
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,D4A8870D824D6C1CF7BDB802736D61AB,Home,Probabilitat i Estadística,106552,9.5
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,D4A8870D824D6C1CF7BDB802736D61AB,Home,Processos Cognitius,106577,8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,8C4EF8D56679196B79828C04F82A45AC,Home,Enginyeria de Dades,106565,9
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,8C4EF8D56679196B79828C04F82A45AC,Home,Fonaments de Computació,106555,8.2
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,8C4EF8D56679196B79828C04F82A45AC,Home,Fonaments de Programació I,106553,8.4
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,8C4EF8D56679196B79828C04F82A45AC,Home,Fonaments de Programació II,106554,8.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,8C4EF8D56679196B79828C04F82A45AC,Home,Fonaments Matemàtics I,106550,7.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,8C4EF8D56679196B79828C04F82A45AC,Home,Fonaments Matemàtics II,106551,6.4
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,8C4EF8D56679196B79828C04F82A45AC,Home,Introducció a la IA,106558,8.1
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,8C4EF8D56679196B79828C04F82A45AC,Home,Lògica Computacional,106569,9.5
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,8C4EF8D56679196B79828C04F82A45AC,Home,Probabilitat i Estadística,106552,9.6
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,8C4EF8D56679196B79828C04F82A45AC,Home,Processos Cognitius,106577,9
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,A027406F56C4F9C540CE12862F397FFB,Dona,Enginyeria de Dades,106565,8.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,A027406F56C4F9C540CE12862F397FFB,Dona,Fonaments de Computació,106555,9
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,A027406F56C4F9C540CE12862F397FFB,Dona,Fonaments de Programació I,106553,7.2
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,A027406F56C4F9C540CE12862F397FFB,Dona,Fonaments de Programació II,106554,8.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,A027406F56C4F9C540CE12862F397FFB,Dona,Fonaments Matemàtics I,106550,9
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,A027406F56C4F9C540CE12862F397FFB,Dona,Fonaments Matemàtics II,106551,6.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,A027406F56C4F9C540CE12862F397FFB,Dona,Introducció a la IA,106558,6.6
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,A027406F56C4F9C540CE12862F397FFB,Dona,Lògica Computacional,106569,9.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,A027406F56C4F9C540CE12862F397FFB,Dona,Probabilitat i Estadística,106552,9.9
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,A027406F56C4F9C540CE12862F397FFB,Dona,Processos Cognitius,106577,7.4
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,BE750DAD76874E80C5726A2FC2303215,Home,Enginyeria de Dades,106565,7.1
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,BE750DAD76874E80C5726A2FC2303215,Home,Fonaments Matemàtics I,106550,6
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,BE750DAD76874E80C5726A2FC2303215,Home,Introducció a la IA,106558,6.6
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,BE750DAD76874E80C5726A2FC2303215,Home,Lògica Computacional,106569,7.6
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,BE750DAD76874E80C5726A2FC2303215,Home,Probabilitat i Estadística,106552,8.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,BE750DAD76874E80C5726A2FC2303215,Home,Processos Cognitius,106577,5.5
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,D53413246979F898A13C7078F48CF347,Home,Enginyeria de Dades,106565,7.3
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,D53413246979F898A13C7078F48CF347,Home,Fonaments de Computació,106555,5.6
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,D53413246979F898A13C7078F48CF347,Home,Fonaments de Programació I,106553,5.5
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,D53413246979F898A13C7078F48CF347,Home,Fonaments de Programació II,106554,5.1
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,D53413246979F898A13C7078F48CF347,Home,Fonaments Matemàtics I,106550,6.2
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,D53413246979F898A13C7078F48CF347,Home,Fonaments Matemàtics II,106551,5
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,D53413246979F898A13C7078F48CF347,Home,Introducció a la IA,106558,7.4
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,D53413246979F898A13C7078F48CF347,Home,Lògica Computacional,106569,8.1
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,D53413246979F898A13C7078F48CF347,Home,Probabilitat i Estadística,106552,8.4
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,D53413246979F898A13C7078F48CF347,Home,Processos Cognitius,106577,6.9
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,F9B9E6C6213D83466E4B61F51A8C5E48,Dona,Enginyeria de Dades,106565,6.6
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,F9B9E6C6213D83466E4B61F51A8C5E48,Dona,Fonaments de Computació,106555,7.4
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,F9B9E6C6213D83466E4B61F51A8C5E48,Dona,Fonaments de Programació I,106553,7.6
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,F9B9E6C6213D83466E4B61F51A8C5E48,Dona,Fonaments Matemàtics I,106550,5
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,F9B9E6C6213D83466E4B61F51A8C5E48,Dona,Fonaments Matemàtics II,106551,6
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,F9B9E6C6213D83466E4B61F51A8C5E48,Dona,Introducció a la IA,106558,6.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,F9B9E6C6213D83466E4B61F51A8C5E48,Dona,Lògica Computacional,106569,8.1
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,F9B9E6C6213D83466E4B61F51A8C5E48,Dona,Probabilitat i Estadística,106552,8.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,F9B9E6C6213D83466E4B61F51A8C5E48,Dona,Processos Cognitius,106577,6.5
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,AE9049929CDD242602AD0F2B7DCF82AD,Home,Enginyeria de Dades,106565,9.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,AE9049929CDD242602AD0F2B7DCF82AD,Home,Fonaments de Computació,106555,9.1
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,AE9049929CDD242602AD0F2B7DCF82AD,Home,Fonaments de Programació I,106553,9.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,AE9049929CDD242602AD0F2B7DCF82AD,Home,Fonaments de Programació II,106554,9.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,AE9049929CDD242602AD0F2B7DCF82AD,Home,Fonaments Matemàtics I,106550,9.6
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,AE9049929CDD242602AD0F2B7DCF82AD,Home,Fonaments Matemàtics II,106551,9
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,AE9049929CDD242602AD0F2B7DCF82AD,Home,Introducció a la IA,106558,7.3
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,AE9049929CDD242602AD0F2B7DCF82AD,Home,Lògica Computacional,106569,9.3
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,AE9049929CDD242602AD0F2B7DCF82AD,Home,Probabilitat i Estadística,106552,9.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,AE9049929CDD242602AD0F2B7DCF82AD,Home,Processos Cognitius,106577,7.1
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,522A0FFB38F15A9CB192A12EAE55D160,Dona,Enginyeria de Dades,106565,7.5
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,522A0FFB38F15A9CB192A12EAE55D160,Dona,Fonaments de Computació,106555,7.9
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,522A0FFB38F15A9CB192A12EAE55D160,Dona,Fonaments de Programació I,106553,9.2
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,522A0FFB38F15A9CB192A12EAE55D160,Dona,Fonaments de Programació II,106554,7.2
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,522A0FFB38F15A9CB192A12EAE55D160,Dona,Fonaments Matemàtics I,106550,6
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,522A0FFB38F15A9CB192A12EAE55D160,Dona,Fonaments Matemàtics II,106551,6.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,522A0FFB38F15A9CB192A12EAE55D160,Dona,Introducció a la IA,106558,6.2
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,522A0FFB38F15A9CB192A12EAE55D160,Dona,Lògica Computacional,106569,9.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,522A0FFB38F15A9CB192A12EAE55D160,Dona,Probabilitat i Estadística,106552,9.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,522A0FFB38F15A9CB192A12EAE55D160,Dona,Processos Cognitius,106577,7.5
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,B8BB22E3C733B64FAC44EA8B9F9A286D,Home,Enginyeria de Dades,106565,7.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,B8BB22E3C733B64FAC44EA8B9F9A286D,Home,Fonaments de Computació,106555,6.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,B8BB22E3C733B64FAC44EA8B9F9A286D,Home,Fonaments de Programació I,106553,8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,B8BB22E3C733B64FAC44EA8B9F9A286D,Home,Fonaments de Programació II,106554,8.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,B8BB22E3C733B64FAC44EA8B9F9A286D,Home,Fonaments Matemàtics I,106550,7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,B8BB22E3C733B64FAC44EA8B9F9A286D,Home,Fonaments Matemàtics II,106551,5
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,B8BB22E3C733B64FAC44EA8B9F9A286D,Home,Introducció a la IA,106558,6.9
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,B8BB22E3C733B64FAC44EA8B9F9A286D,Home,Lògica Computacional,106569,8.1
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,B8BB22E3C733B64FAC44EA8B9F9A286D,Home,Probabilitat i Estadística,106552,9.1
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,B8BB22E3C733B64FAC44EA8B9F9A286D,Home,Processos Cognitius,106577,6.1
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,9DF0676BAADB51F4FA4F35611249F777,Home,Introducció a la IA,106558,7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,9DF0676BAADB51F4FA4F35611249F777,Home,Lògica Computacional,106569,9
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,9DF0676BAADB51F4FA4F35611249F777,Home,Processos Cognitius,106577,6.9
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,68324383C8B23AD63FE14D29AA90061D,Dona,Enginyeria de Dades,106565,7.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,68324383C8B23AD63FE14D29AA90061D,Dona,Fonaments de Computació,106555,7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,68324383C8B23AD63FE14D29AA90061D,Dona,Introducció a la IA,106558,7.2
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,68324383C8B23AD63FE14D29AA90061D,Dona,Processos Cognitius,106577,7.2
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,AA6DAD88450515C7A6D392D150555956,Home,Enginyeria de Dades,106565,7.3
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,AA6DAD88450515C7A6D392D150555956,Home,Fonaments de Computació,106555,7.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,AA6DAD88450515C7A6D392D150555956,Home,Fonaments de Programació I,106553,9
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,AA6DAD88450515C7A6D392D150555956,Home,Fonaments de Programació II,106554,8.6
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,AA6DAD88450515C7A6D392D150555956,Home,Fonaments Matemàtics I,106550,5.9
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,AA6DAD88450515C7A6D392D150555956,Home,Fonaments Matemàtics II,106551,5.1
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,AA6DAD88450515C7A6D392D150555956,Home,Introducció a la IA,106558,8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,AA6DAD88450515C7A6D392D150555956,Home,Lògica Computacional,106569,7.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,AA6DAD88450515C7A6D392D150555956,Home,Probabilitat i Estadística,106552,9.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,AA6DAD88450515C7A6D392D150555956,Home,Processos Cognitius,106577,6.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,BF240F3744C15A805EDC81CA08462492,Dona,Enginyeria de Dades,106565,7.4
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,BF240F3744C15A805EDC81CA08462492,Dona,Fonaments de Computació,106555,7.3
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,BF240F3744C15A805EDC81CA08462492,Dona,Fonaments de Programació I,106553,6.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,BF240F3744C15A805EDC81CA08462492,Dona,Fonaments de Programació II,106554,6.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,BF240F3744C15A805EDC81CA08462492,Dona,Fonaments Matemàtics I,106550,6.4
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,BF240F3744C15A805EDC81CA08462492,Dona,Fonaments Matemàtics II,106551,5
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,BF240F3744C15A805EDC81CA08462492,Dona,Introducció a la IA,106558,7.3
