Estudi,Curs acadèmic,Id Anonim,Sexe,Nombre Abandonaments Universitat,Nombre Abandonaments Universitat Reals,Nombre Abandonaments Universitat Reals criteri 1 any,Nombre Abandonaments Universitat Reals 1r any criteri 1 any
Graduat en Enginyeria Informàtica,2020/21,2E8FB5B454FD21C23A08121B6AC92499,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,56B3F45CF06CBC684AF57822140A312A,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,57D5DD36498247AAC54537B1E5EDE42A,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,F46A7789D38D9D4D50361179107223CB,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,755B9B44B675FBB760D6234637E0F0A9,Home,1 ,0 ,0 ,0 
Graduat en Enginyeria Informàtica,2020/21,7648943BB4A0BE7AA085F7D6D31027A5,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,03E6DAFCCB3BB61D9F22D3D883DB4FE6,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,870FC4893E2173E1896802003CCD1D75,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,BD2369DE0DB690D2A848B9B534172859,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,CC1B8F14BC2012C0C8AD30C75C935205,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,DE9AE371FA843486E23DE5A3BBB39BA7,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,04AC868140A6D2156A3ED8C70701E18A,Home,1 ,0 ,0 ,0 
Graduat en Enginyeria Informàtica,2020/21,5B721DBA27F91D6C873E98FEFD3E94C7,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,6B2411ED2CC0E5FDB4FE587E2AD2BAA8,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,8596D3DD1E6F57BF6D6D1C5F6CDA159C,Home,1 ,0 ,0 ,0 
Graduat en Enginyeria Informàtica,2020/21,45F593D7AA0AC554E265DFE6B868F1C2,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,ED75EF09974E4F5BD22E96A4DFC959FD,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,A458962B6F569927D0FEDC995CD5FD5F,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,E57CE620A026F82089DBDA89961545AF,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,8D1EE8436718363716F3C95DC35E9B87,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,D8B0696EFE85999B10F9335CD8B946FA,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,7DF7BD607F2228F9514F5E7AA96A10A2,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,4008C87DB7F04CCBE5EBB42502E69B7A,Dona,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,541EB7CA3297C2D7055993B1652BDF65,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,4320BE2EA1F3AB1ED37E3BF9E1D5008D,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,6FBF82957CC9E7EF48C8E2389D3699E3,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,E47D6E669FF43304295C3B175F68B9E9,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,7D3EC7E5007F1A56B1DDB4D65764639E,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,CA69DEA062015C6E7FBF7EAAF70FF08F,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,3E4AF1D1A6BA3F08D3D38BA37A4C32A7,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,E2E7E51CF9812CBF1C8270AC564A0314,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,56C9E504F4255851CCACA945F5551877,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,944DD56CC53748D8B7192EE517426CE4,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,5401C1823DB4FE23CBFC9FFA3390633B,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,21C232436629F8E2CEF10695E34E7730,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,25732C2554976A71B419F41B7BE2449E,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,78AEEA368D8E748526C83782D9358474,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,50186B29D2726B300B941336DEAAC54D,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,B78BBFC0C9752CAC82C64C53D0E70701,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,CF8D92286ECD8AE59F7F278CA5E7787D,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,A66E230E9D4AAFC40941357E86A969CB,Home,1 ,0 ,0 ,0 
Graduat en Enginyeria Informàtica,2020/21,D4C57164A5ADB0C5D8050F77A1FC1E14,Home,1 ,0 ,0 ,0 
Graduat en Enginyeria Informàtica,2020/21,AA259E29EC40B66BC53006C3284CC47C,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,1F670C7D6CF426A8D04A2D1F76DD6A50,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,EAC25DB54146F423D30BCD840CCDEBD3,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,6C8CC9E0C7BA160EDA7B534764AAAF7D,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,4A079EB21C52697362239B9E208DF18C,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,CC602987F6CD3A0AF96C4B64B6AB801D,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,217F9AD0438ABC1852C10303E995B0B2,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,6E0076842C9A1DCA7987E9E4D017A76F,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,BFA9EBB56C486DA43EAF663D2B0A8A97,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,7E24CCCA581C09BB9D9A25D03CB13E37,Dona,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,6B1C8A572C8DB7CDEE76E17183CCDA34,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,BE4B973027CFF95501A74047E064CFA0,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,158A4AB80AF8426266356A6943534221,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,242432B3E492FF13E8A6029914F0E33F,Dona,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,931976889D07148A3D0459EA8E339284,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,9E1B28D7A0D8545970955519413E1D36,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,D10D08AA05845B3E54F84CF85B40AA8D,Dona,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,A0E85954FE68E1DCA7571A1671C4ADC5,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,10DA7185901349BE00431ECC65C5ECAB,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,6A4B50B2869A39269A375683BA60C572,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,CC807C642A9C3AFDF585674C664C3CF8,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,8E0552FA0990582F4D799FF8E6429275,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,8B69C2C0A77CA93525C1BCE3DE04605C,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,9B5D8F0DCC70504FF7F8475ADD958439,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,80205CD849433726F29E6B804D144087,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,AC3CD74F6EE7876E7A7DACB6CE05D2F1,Dona,1 ,0 ,0 ,0 
Graduat en Enginyeria Informàtica,2021/22,7526FB10E35C2E8808213E923F8F6125,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,22F995020F697929585BBADAC92CAB20,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,F01EAC8B34E7B6A1BCF2015CE188D898,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,17560CD3BF487B97E21A68CDB42A1E57,Dona,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2021/22,93C3CF57B2C71E9AE3A122D934D1A677,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2021/22,5148F0649CF0EAD9D96B989250D46FA1,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,543339F552E0B0E988D8BBBD6465185B,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,1FDAE19E9797228E67DDE7BD40272C43,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,831467D928E1E6F50F9FC15B8D8E2CB0,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,FA38DA6A6A4B5742162DF3DCCB90CB06,Home,1 ,0 ,0 ,0 
Graduat en Enginyeria Informàtica,2021/22,358012D1C4D7DD5D650CBB9C848A4078,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,7FD9B07B2546B1AC9387C7F850CF4534,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,7043EEBD9C9AC44D57CF2F666264167B,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2021/22,D7DB748D9D469BE61B9F8BD7A1623A01,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,6E41442B8D0375EA629139F020648A58,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,EFC10CFBFDCF5BFC616BDEBE09FACA84,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2021/22,92ED0820961D00316A5A63714C088787,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2021/22,7CBE304C84C2035B01FFEF9A19EC2FC9,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,CA31B850CB18AD2D77737C1CF62B6405,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,7F757396A4514CB6EC2E8F2915C31B61,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,367AAB0B556DCC1701918AA73111B233,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,575DD6109D20D4EA44AA193447440777,Dona,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,197C2F7C1D5C3272BDF329DEA915D2FC,Dona,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2021/22,71D15F742A83A0481B08C2DA80AC19A0,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,45FB4E7707C1C4E7910CFADE87D83F6F,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,AABE58D57B9407DFC2CD5B485C8E32AD,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,C67D3B550BC5D7C4062C2B7DA1CFAAD2,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,C1FB0B98E881943A8BAB32DADD754D36,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,8A4D10A262514986CD27A3B71247AA9C,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,06807D2BCCA278C4154AFF5ED760971F,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,56D128E8354A1722387E9242B9F04638,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,70D21638D9A193E3828454B25C580D15,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,E148F0C1BA9482EDD5BE5626F2764B24,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,03577417A718248AA45D38A7CCBCA428,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,7744AD278896AF72C1CF47B34F3BBA1A,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,9CE62A315D7C3D79CBD03493D8C80C84,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,4E7DEFA85E9A1CCA8326106DFCFB4E75,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,71ECDD55816824C22D1EF5590F89194B,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2021/22,0C0348BB7FFA73DF237B00809A30CF00,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2021/22,BB44D7D5FF1014CCCE92D8007D0DA7CC,Dona,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2021/22,561022DD11970772A62B38DD7F4AA7C4,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2021/22,2E0F118F744B41EDFD212F5EAB7B5D9E,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2021/22,30120D68769C82AB63EAA9AE3923D254,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,FDF5237521DE276A7C282BDD0ED4AAB3,Dona,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2021/22,81309778F08A0A128629AEAB074D0B53,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,51E709C733562694C7782D564053B6DC,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,D0D19F51406670B41E5ABC770D76ABAF,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,38315AB149D8748288CFEE590B427130,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,3EE14E73DD5CC941A2900A0BCA10C17B,Dona,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,8D5C48E392522BAFDB5FA41EB49E023A,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,48B27444B594FD0A9CF46F41567219E5,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,93D0E6DBF58596F4CFC81CFB5B9603B2,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,43A85277B85391F8316F1F54787E431B,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,2BD9472972C5443A0B7C6617D796917C,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,9106EC0DC3DD3C2AE7721662231164F2,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2021/22,FA43CDA9F0DF05AB39DCE1E21B811415,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,4E9B6FF634F3E880B0901EFEC50C6B73,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,531AB886FD8F56C69F1C6C86DB99C900,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,F695315DD4CDEC78D1088E7053008B1A,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,77A06B50D94460E6F6DB524F09585B6F,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,1F798C181354F3DD6DE10C2A7D06C4DC,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,9E88AC0FD3B7868769268478B64745D1,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2021/22,C337CF60E91FFA89EF9368812269235B,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,6E4D935EA8D1A0141294D6B49CBA1A89,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,106177AC7D8BB57E9FD9F66222850740,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,FFFF59480117EA2B78DC353559073C0C,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,5D2F1C218624111242F10604AFE659BD,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2021/22,61CB7840857023DE3EA7621D0A9C89A9,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,563159046FFE06A18D4B2985F15E8EBB,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2021/22,83D7BCD38B663E681EDF312F449B52D1,Dona,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2021/22,4C0B166A13E70F62C54FF325512D7660,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2021/22,897934E8D9751EDE465E2A81080F94FD,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,5BCC164063C9A3CE5BC0486B7B490EA7,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,F0BCE037BDAA483864D5C4DCBC018DC1,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,BA0E761D0E4CC4EE8DA133E3DA3755B8,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,0F2055B50754862D8E2591A666AC961D,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,7D7B449B2A866B3FE0D3F8A5193E6A56,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,A980A09279A4EC4129B6C6C25F7F1B31,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,6C43A1EB5DD739E7BB3CDC2D35EB5871,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,6607D4F2AF06DBE0DC7CEADEC530143E,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,3C0152407DBD3BD2F8C1FB6EEB1A43CC,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,A4322474A545B40059BC2906CBEA605A,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,15F9B42900A2B8FA0541057228B0EB34,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,E928A8972A814A4647BD5BCF49AD8420,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,A404D20C4920A41907DEE63E826B338B,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,5EB577923A326C92C69650412C88C87D,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,67EB7C31E0F3614F3D9C13AE6AE0A8A6,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,50B1041503CC81AC8FC2817FC795A4C3,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,9F5D2A53C3130FCFEFBCBAA7C60164A3,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,E6B272A3C2B72A1CCBC1FBFA457779A5,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,92110AFAC8728FF098EB519D0826C7BF,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,B07F7B19C9FAC50C4B9EEC41F05E4886,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,247A06F1BD405A67B71D2D28B1F04CE1,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,BED1216C51C4B9197170052BB5DD5928,Dona,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,978AA9D4C6278EB1685544DD00B5A650,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,5FA24CE9517CACB781F08D4D89DE5998,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,296179BF359340442EEE6AF43DB0F1DF,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,65E6E34873508ECFC1F7334466D4DF5F,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,BE2A80435C996D333E4E1FFC758C0E4D,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,699EC69E7BB58B2E8646E1ACB58CFF36,Dona,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,DAE3B7C5755015223633941B04833A21,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,EEDB96213600D4881775CF3845D4FB08,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,FFCE8891332C04D336762DF178C99331,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,EA1C368E42500BB944C74CA66603A8AF,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,55F4AC9BC3B1174D14F879FA758C4E5F,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,2043FC89E5DEB9402F6BB0BBAA5BE2C8,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,C98159095E39D68143F36048D6AF7E2D,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,7EBF04ED17EFD2C031759D9D2D8A9F14,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,506197D2F10BD44B4AE583D846A58F19,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,3135DA769857564D241633CB5F2A840E,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,B78834F4669230A35022177704F3A3E6,Dona,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,A2A131B2126915B1E3283E2D02C8FDA2,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,A4660CB9E352BD8DC4273C35C91F8693,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,5D1B3001EAEBF408851B094C37189956,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,FCDE945DE8F56F6C7888167F6BA12753,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,7F3CF2B63CBB0A06E153947BB5423D21,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,00DB10EDB3F63B6CAAFE420DC0B06811,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,C55F836F8EECFC2B2A5D34974E590EE2,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,E4B3E05088927FEA199D7D0A8D6B3BB3,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,0849FC0A213DDA36EB1882B814D177CE,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,110E44C87BA4AFC4EEA3F73DA848C604,Dona,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,4B5150A9688A7555307629CBACA407D0,Dona,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,6DF215C8E45368E203A862BACE995EB5,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,8B766599922114EE8941D69E782565FE,Dona,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2022/23,4D513F7310EF967E08DC7DCBD23897B1,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2022/23,B72F02C94D7277EFA5B1B84B9179079B,Dona,1 ,1 ,1 ,1 
Graduat en Intel·ligència Artificial / Artificial Intelligence,2022/23,85F9029EC3CAE1844D6B4D1440955AD2,Home,1 ,1 ,1 ,1 
Graduat en Intel·ligència Artificial / Artificial Intelligence,2022/23,202C47FB5F3C6693F9A886A88C0B12FC,Home,1 ,1 ,1 ,1 
Graduat en Intel·ligència Artificial / Artificial Intelligence,2022/23,63CCFA0156F2BD80158CA4A32A0D6CE5,Home,1 ,1 ,1 ,1 
